municipal,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,cases_2007,cases_2008,cases_2009,cases_2010,cases_2011,cases_2012,cases_2013,cases_2014,cases_2015,cases_2016,cases_2017,cases_2018,cases_2019,age_0_to_4,age_5_to_14,age_15_to_29,age_30_and_up,illiterate,secondary_education,employed,unemployed,men,women,households_without_water_access,households_without_internet_access,houses_per_km2
san jose de pare,5757,5731,5703,5655,5606,5502,5429,5370,5266,5166,5035,4988,4989,2,0,1,103,0,1,12,1,0,22,5,1,1,5.47,14.56,17.82,62.15,12.32,32.25,34.84,5.41,52.38,47.62,42.21,75.12,22.438356
san luis de gaceno,6493,6479,6461,6443,6401,6353,6270,6131,5921,5694,5557,5499,5476,2,1,7,23,0,6,38,14,8,21,1,0,152,5.91,16.72,21.27,56.1,8.99,41.73,43.31,2.02,51.04,48.96,32.08,65.85,3.591703
san mateo,4684,4677,4650,4628,4597,4564,4507,4429,4255,3945,3583,3332,3204,0,0,1,0,1,0,0,1,3,1,1,0,11,6.38,14.06,19.72,59.84,8.41,37.44,23.31,2.42,49.86,50.14,16.62,56.72,8.748092
san miguel de sema,4100,4085,4060,3981,3795,3466,3282,3205,3168,3112,3045,3009,3006,0,0,0,0,0,0,0,0,0,0,0,0,0,6.34,17.75,19.23,56.67,5.45,40.61,35.44,1.28,51.02,48.98,30.18,66.52,10.577778
san pablo de borbur,7964,7695,7562,7460,7380,7273,7174,7089,6977,6831,6665,6608,6664,0,0,0,92,0,14,24,19,17,11,1,1,1,6.23,17.85,21.65,54.27,10.12,38.19,23.67,13.84,54.31,45.69,56.3,78.23,9.932642
santana,7906,7892,7849,7821,7774,7726,7692,7633,7605,7570,7549,7565,7643,2,1,4,132,0,0,17,42,38,218,55,0,8,6.72,16.26,22.94,54.07,9.98,42.34,35.56,6.15,51.73,48.27,21.22,73.18,32.641791
santa maria,4665,4661,4652,4630,4630,4603,4556,4463,4284,4003,3730,3559,3518,0,0,0,0,0,5,4,18,4,11,0,4,4,5.85,15.18,21.39,57.57,8.2,44.1,35.99,8.43,51.53,48.47,27.7,65.36,3.506135
santa rosa de viterbo,12493,12510,12515,12508,12514,12490,12463,12475,12571,12744,12904,13066,13205,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02,14.11,26.09,54.77,4.04,55.12,31.41,5.52,52.32,47.68,5.47,61.99,37.355140000000006
santa sofia,3129,3140,3157,3138,3151,3158,3154,3178,3194,3207,3177,3179,3195,0,0,0,1,0,0,0,0,0,0,0,0,0,6.52,15.17,20.55,57.76,8.92,41.5,41.47,1.12,50.32,49.68,7.6,43.24,12.051282
sativanorte,2751,2742,2736,2730,2700,2670,2653,2607,2547,2436,2322,2221,2177,0,0,0,0,0,0,1,0,0,0,0,0,0,4.59,13.43,17.87,64.12,8.79,36.13,13.38,3.7,50.74,49.26,10.66,41.62,4.255434999999999
